review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R28EIR3Z6RRUNN,2,50,60,Y,N
R2YO2RESXZEWOF,4,24,25,Y,N
R8GEE2EW3D6S9,3,49,54,Y,N
R33W9V1MX6WKPS,4,47,53,Y,N
R24E3W2ZRIFG8C,5,91,93,Y,N
R2OR3KIFFG4YWT,4,75,81,Y,Y
R1RLJAAFOA5MMS,2,25,27,Y,N
RVYHD7IZ7W99B,1,78,78,Y,N
R12EV95D2T56HA,5,37,37,Y,N
R296NVZGV4VZLP,5,41,44,Y,N
RLJPGO3YMKSI6,5,24,27,Y,N
R33KYYMINUELQA,2,23,23,Y,N
RNNE1AAL4XU7W,4,60,64,Y,N
RC38M96UFDOOI,3,78,87,Y,N
RR9F2YTECN67C,5,35,37,Y,N
R1HB8SSCA97V9U,5,100,105,Y,N
RX4E94KN6K16U,5,56,59,Y,N
R1XLGO18EB3KZA,5,25,25,Y,N
R1R9XER49EMT2N,2,34,35,Y,N
R7ST49NTUXZLV,5,23,25,Y,N
R2DAVONCTCT2VJ,3,1142,1165,Y,N
R2JEAEFYCO6GEG,2,21,28,Y,N
R2WSD61VZN9LB,3,30,35,Y,N
RE0ZU411BQER,2,17,21,Y,N
R3MR3KWH16XKDB,4,336,341,Y,N
R2GB8K7O9WC3J9,3,413,449,Y,N
R1X0FSTDCDAPER,4,22,22,Y,N
R1C3Z7IGS700K8,5,293,303,Y,N
R2TOQ26EUHF45G,5,78,79,Y,N
R254QE8B67FICR,5,18,20,Y,N
R3691IGI1SLVFD,5,36,37,Y,N
RCI2EPYOSGNWH,4,41,43,Y,N
R3IZBBDG779H1G,3,17,20,Y,N
R1AERD8HWU83B5,3,30,36,Y,N
R1DFBD9Y2323KI,2,103,107,Y,N
R1P6LO0MYJF40E,5,23,23,Y,N
R1X5JTXUUKPWH6,5,32,35,Y,N
R260PRR3RI016H,5,81,85,Y,N
R1R2UASMVYX0Y5,3,48,53,Y,N
RM637EPYJCYHI,1,49,51,Y,N
RIF9AJ53JMST8,1,21,23,Y,N
R1BGEGOX6SCYU2,5,19,20,Y,N
R3J8BZIABLQ821,5,62,66,Y,N
R3G0ZYD7CIBW62,3,26,27,Y,N
R2RFOAKWP5G1TP,5,66,70,Y,N
R3BCPKHRR5942R,3,19,20,Y,N
R23DBDJBP2UB3K,3,46,52,Y,N
R8FTP7U58AOZZ,5,34,36,Y,N
RPIF8BQZNVIYL,4,18,21,Y,N
R2IGRWUWHIGGSE,3,94,100,Y,N
R1VIEJ0S33LFFQ,5,116,120,Y,N
R35ZJHQME3IR49,5,49,51,Y,N
R1HUV4FUDAMW4L,5,39,40,Y,N
R34OSPZZNFN6D7,3,318,346,Y,N
R3QSVYB2A5XOE4,4,42,46,Y,N
R3111MCDSX2BMI,5,36,41,Y,N
RG4JSIAOKGEB9,5,106,115,Y,N
R2ODPCF6F4LT3O,3,17,20,Y,N
R3BG1MT6GJ0T75,4,63,67,Y,N
R38XK62DFXWIR9,5,37,41,Y,N
RU7ET9VJIQHVS,4,16,22,Y,N
R3PNRZYOCABHJ3,5,23,28,Y,N
R345IZT42FJRMM,5,34,39,Y,N
R1Z8UZKNMDIXZ6,5,107,110,Y,N
R3BUEWWF8LS8U1,4,34,39,Y,N
RQIDOYK0JNB8D,5,261,270,Y,N
R9YQYBGY6LWWZ,2,23,26,Y,N
R1EWPJRSRS2PC,5,29,33,Y,N
R1L7BFQ4GOTUEV,5,27,29,Y,N
R1VHO9QJ9DMTEL,3,40,41,Y,N
R3CD5JX1LY7G46,4,284,293,Y,N
R1XI4RP8200IMK,1,44,48,Y,N
R2SLQR7YTQELLA,5,19,20,Y,N
RVT8TFEUGUBWE,4,87,97,Y,N
R99GPEU3MDCW2,3,24,24,Y,N
RZHYW4NFNGNWB,2,17,20,Y,N
R17NQPK6SNOY3D,5,39,39,Y,N
R2EDAVHVM6CZ4W,4,28,31,Y,N
R1AA8MGR7WRAH4,2,67,73,Y,N
R3U9KOXOY0P4ZS,4,27,28,Y,N
R3DBO9XI9NFMKO,5,78,83,Y,N
R19S7KGPJBQIH5,4,31,35,Y,N
R83WJ6RFON035,5,26,26,Y,N
RPGF4UHV329N3,5,25,27,Y,N
R3CNIMPE1RBBKC,5,76,79,Y,N
RX3GK782SCGLN,3,26,27,Y,N
R1FMU8HOMKEUW5,4,25,25,Y,N
RV90B2MF9XCG7,3,21,25,Y,N
RDX67QWQE10EV,3,33,35,Y,N
RON7HACGPTC2H,4,23,23,Y,N
RPQBEIHH92962,4,17,20,Y,N
R27F6T0G4QOW9U,1,60,64,Y,N
R1REJ9I84AFK83,1,337,345,Y,N
RQLTY794A2391,1,46,48,Y,N
R2IDS00OK5377F,5,47,50,Y,N
R1AS6E12TGTGVP,5,21,21,Y,N
R1DDOO4ONB7P25,1,65,72,Y,N
RB67ZFIN3X8Y3,1,36,36,Y,N
R2A8HT3QTAQA3J,3,21,22,Y,N
R2HYA9L0YVXB5Y,1,97,99,Y,N
RBUTY0BEB3RDA,3,43,48,Y,N
RW5VVLEG9IFIE,4,405,417,Y,N
R1QH9XTVG4X3HQ,5,282,288,Y,N
R3Q7IXRQY40B5K,5,26,29,Y,N
R2U1TVL9U0QG8,5,1084,1096,Y,N
R3HHNK980I56NI,5,30,34,Y,N
RGOXAYLMOCCV0,4,111,123,Y,N
R205GV8Q0Y9GQG,4,26,31,Y,N
R3SF7YZ9N8DVN2,5,19,20,Y,N
R1TSDREUG9JRZH,5,23,27,Y,N
R2DKPFI39O82DT,4,217,236,Y,N
R1E0EF8KGW39LV,5,19,21,Y,N
R15L29557GRCIO,5,57,61,Y,N
R2NMOPRFZTW31Q,4,185,190,Y,N
R2WH5451JVRIJV,5,86,92,Y,N
RXJOF2FHZDEM8,5,36,38,Y,N
RZHGQ4ZA08F21,5,30,31,Y,N
RB0M1V88PLHRW,5,94,96,Y,N
R3PIUKLIZC0K2F,1,69,80,Y,N
R3MVZ1BYFPZX0C,1,20,25,Y,N
R1TOMANDNY482H,5,24,25,Y,N
R17CILB3UMFVUK,1,29,30,Y,N
RDVGCAZZAPWDB,1,102,111,Y,N
R96BRBQHYNBWV,4,163,169,Y,N
R3D4UR6I02RIFT,4,27,28,Y,N
R1RRDT1S30HCA3,4,21,21,Y,N
R22882ELQMB3M9,1,35,35,Y,N
RT91KBN7SEDP1,1,34,36,Y,N
RFAO728TNQGDY,2,30,30,Y,N
R33G0L3DJC49PK,4,21,22,Y,N
R2E84PK5RZWJA,3,47,51,Y,N
R1R5V29KQF3G7Z,5,29,31,Y,N
RIKVTLG47A1YD,3,50,52,Y,N
R1GA32YICGM44M,4,23,25,Y,N
R2TK22PAY9BENU,5,88,91,Y,N
R1R8QREVCRMGV9,4,51,54,Y,N
RSOU9400W0W5G,3,15,23,Y,N
R7JDOLORZ62YR,5,1231,1247,Y,N
R18MGW0LN4RWEX,4,70,75,Y,N
R3DJB5DDXWWY9A,4,45,47,Y,N
R27NJW3XL3Q06R,2,341,349,Y,N
R16S2VP97REPC2,4,522,533,Y,N
R2BR9GY4OVT18A,5,40,43,Y,N
R2AMWVHFP93OLE,4,27,28,Y,N
R3125W32EF7TY8,5,20,20,Y,N
R2RYAHZWNRS77L,3,127,128,Y,N
R20N4D7PZOE1HE,5,19,21,Y,N
R4BWYA8RF2VMS,3,25,25,Y,N
RNV1TI20G7Z9V,5,19,21,Y,N
R26SW1G2K548E1,5,27,31,Y,N
R2NWZBPOW1K6B4,4,96,110,Y,N
R2GSZW8LSS382H,5,17,20,Y,N
R1X6V5RP5LM2WR,5,163,180,Y,N
R3RN3OCVLGXAHH,3,33,34,Y,N
R34BJQ2WHQGPXB,2,20,23,Y,N
R3SL0Q3AVX4J3Y,5,34,35,Y,N
R1ANZ8I6C0DT0A,4,24,25,Y,N
R39794RGHXLMV8,5,40,46,Y,N
R2LVP49XP5MPED,4,34,36,Y,N
RQTPBMNOJGVNO,3,27,29,Y,N
R1KN5DA53079V5,5,32,35,Y,N
R3DL2LMDGKYDPT,4,22,25,Y,N
R22GXQ8OXTXTW,5,50,53,Y,N
R14M63V32IEHDG,4,61,63,Y,N
RF0DXDE5UHH55,5,209,223,Y,N
R27BZG91N8C2K4,5,95,107,Y,N
RWQZCIUS2Z8IS,5,19,20,Y,N
R1RDKCA8PJD84Z,2,166,178,Y,N
R3CNVL3QZ6QHCD,4,27,28,Y,N
R1LP86XHXKHB6T,4,39,40,Y,N
R39BJFN45DBI89,5,71,77,Y,N
R3T36AU1OVK6WK,1,28,28,Y,N
RZ7HGPGGDO8DY,3,22,22,Y,N
R233PVDQEXU727,5,80,87,Y,N
R2CIM4HBTBBOJT,3,83,87,Y,N
R1T3137KWU91WM,4,38,42,Y,N
R3SLSOSHWHBLEK,4,101,106,Y,N
RSWJ1R6T04O02,5,19,20,Y,N
R3TCHJ0QACS445,4,19,20,Y,N
R1P7CJVDOETLLE,5,24,25,Y,N
R2J6PXU3DZ00ET,1,134,150,Y,N
RA5H9TPA31TOQ,4,58,59,Y,N
R3W5GK1YRNN51,4,22,22,Y,N
R2RGC8GGMLH5K0,1,28,33,Y,N
R27HDKI1NJLVXU,3,204,237,Y,N
R1AF682ZIKS5L,1,47,51,Y,N
R38F2VKEY9X8PE,2,45,50,Y,N
R2WNA0FQAHFXKJ,3,61,63,Y,N
R2GOO7PJLNHKZ1,2,56,58,Y,N
R2ZAYIN0VSLSRJ,3,20,20,Y,N
RSIRTN7CE1GW,2,25,28,Y,N
R14B5QO4LAZTIT,5,20,22,Y,N
R3OKPSJR7O9360,3,122,130,Y,N
R1MWRJQE1Q5EGR,5,23,25,Y,N
R3RXGF78TR8WHD,3,41,44,Y,N
RE9RFRGJ1EX83,5,42,45,Y,N
R30IHP8J80OOS8,3,74,75,Y,N
R29JDMOO5XGRTS,1,82,86,Y,N
R2VY3HI3JGX3E0,3,47,48,Y,N
R3KE9P9D8488A1,4,22,22,Y,N
R1LN4L0NJRXGQT,2,34,36,Y,N
R1WGY5QSOW9XGS,5,44,44,Y,N
R2WCMNX56IBX6E,5,30,30,Y,N
R1HP4C1H3DGC85,5,24,24,Y,N
R1GHAFCKBWTXJJ,3,130,136,Y,N
R1NKGQ5QRGOR9S,4,33,40,Y,N
R3NOUSSV8MPVMG,3,36,39,Y,N
RGRUGJL7OLL50,5,39,42,Y,N
RM79ZUB75AHS2,5,128,134,Y,N
R3TYODQJ379ONQ,3,20,20,Y,N
R1CG1AVAFSAPPC,2,399,407,Y,N
R38JT9L5EA35TZ,2,57,61,Y,N
R3CXH14QMPTDXI,2,33,33,Y,N
R2BUJKVIVIO8XK,3,168,194,Y,N
R25CBPJNSJL65S,5,81,84,Y,N
R2FVT90S2ADGBF,4,24,24,Y,N
R3VJAEYZR0D8Q7,5,20,21,Y,N
RLEZQ8RMOM1EM,1,29,33,Y,N
RVPGERNE9BAHE,4,48,55,Y,N
R1AOPK6K8HN1H8,5,21,25,Y,N
R2TOEIU1YXU1GZ,5,25,26,Y,N
RTVUMVTFZ95F9,5,44,45,Y,N
R2ZQ825YCDU0J,5,58,59,Y,N
R2TT3CPH1Q3FUR,5,42,49,Y,N
R1RZ0SUU1SYWA,4,63,71,Y,N
R3BJNM3QRTIMS7,4,321,327,Y,N
RMWUO8B7U261T,5,95,98,Y,N
R3HHH0MPUZXPIP,4,23,28,Y,N
R30AT8P8RF7NXY,5,34,37,Y,N
RKTA8SF3HYGBG,4,39,42,Y,N
RWFSN9STN79U3,5,26,31,Y,N
R2T7464AAV6VFA,5,108,110,Y,N
R75PGIBC1WC1A,4,19,22,Y,N
R2V3QOIM1TEKFW,5,53,57,Y,N
R2TEGKP93TLJLK,5,23,30,Y,N
R2CGILMX763ZWG,5,22,22,Y,N
R39DZA6814BEKU,5,26,28,Y,N
R912RGGMFC8A5,3,20,21,Y,N
R70S53XYLT76V,2,68,74,Y,N
R3LN91U37XCS1D,5,20,27,Y,N
RKLORWCBET67S,3,55,73,Y,N
R2BIHS2DHNQ3SU,4,55,57,Y,N
R1KJJ7VY4YONSA,4,22,24,Y,N
R355R1K0UUTPVM,5,70,71,Y,N
RH9EI8TTHE45W,5,28,31,Y,N
R1GRNLMBP4CC02,4,23,26,Y,N
R393A45ITWN11F,5,59,63,Y,N
RW9U7VT1GELNS,5,16,20,Y,N
